Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,
St Andrew's Insurance Plc,LLOYDS BANKING GROUP PLC,no,01-01-2020 to 30-06-2020,,,,54.5%,,54.5%
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,01-01-2020 to 30-06-2020,,80.6%,,79.3%,83.5%,81.6%
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,no,01-01-2020 to 30-06-2020,,29.1%,27.3%,11.4%,25.7%,25.2%
Standard Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC,no,01-01-2020 to 30-06-2020,,51.9%,46.7%,21.6%,51.4%,51.2%
Starling Bank Limited,STARLING BANK LIMITED,no,01-12-2019 to 31-05-2020,34.4%,,,,,34.4%
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,01-01-2020 to 30-06-2020,,,,61.1%,,61.1%
Sterling ISA Managers Limited,NO GROUP,no,01-01-2020 to 30-06-2020,,52.5%,,,49.8%,51.0%
Studio Retail Limited,STUDIO RETAIL GROUP PLC,no,01-10-2019 to 31-03-2020,,,,59.4%,,59.4%
Sun Life Assurance Company of Canada (U.K.) Limited,SUN LIFE FINANCIAL INC.,no,01-01-2020 to 30-06-2020,,35.1%,,17.0%,31.4%,27.8%
Swinton Group Ltd,ARDONAGH GROUP,no,01-01-2020 to 30-06-2020,,,,48.0%,0.0%,47.9%
Tandem Bank Limited,NO GROUP,no,01-01-2020 to 30-06-2020,,,,,,
Target Servicing Limited,NO GROUP,no,01-10-2019 to 31-03-2020,,,39.1%,,,39.1%
Telefonica Insurance S.A.,TELEFONICA SA,no,01-01-2020 to 30-06-2020,,,,65.8%,,65.8%
Temple Finance Limited,BRIXWORTH INVESTMENTS LTD,no,01-10-2019 to 31-03-2020,,,,,,
Tesco Personal Finance PLC,TESCO PLC,no,01-09-2019 to 29-02-2020,42.3%,,39.0%,24.9%,,30.1%
Tesco Underwriting Limited,AGEAS SA-NV,no,01-01-2020 to 30-06-2020,,,,42.7%,,42.7%
The Carphone Warehouse Ltd,DIXONS CARPHONE PLC,no,01-11-2019 to 30-04-2020,,,,39.2%,,39.2%
The Co-operative Bank Plc,CO-OPERATIVE BANK PLC (THE),no,01-01-2020 to 30-06-2020,53.9%,0.0%,44.1%,74.5%,3.0%,65.4%
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,no,01-01-2020 to 30-06-2020,,,43.5%,,,43.5%
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,01-10-2019 to 31-03-2020,,,46.3%,,,46.3%
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,01-01-2020 to 30-06-2020,,34.1%,,50.3%,41.1%,49.8%
The Prudential Assurance Company Limited,PRUDENTIAL PLC,yes,01-01-2020 to 30-06-2020,,79.5%,57.1%,74.6%,80.7%,79.6%
The Royal Bank of Scotland Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2020 to 30-06-2020,64.0%,11.1%,58.0%,49.9%,23.6%,54.5%
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,01-01-2020 to 30-06-2020,,57.5%,,40.5%,42.7%,50.2%
The Share Centre Limited,SHARE PLC,no,01-01-2020 to 30-06-2020,,29.6%,,,37.9%,37.6%
Topaz Finance Limited,COMPUTERSHARE LIMITED,no,01-01-2020 to 30-06-2020,,,36.7%,,,36.7%
Towergate Underwriting Group Limited,ARDONAGH GROUP,no,01-01-2020 to 30-06-2020,,,,42.4%,,42.4%
TSB Bank plc,BANCO DE SABADELL SA,no,01-01-2020 to 30-06-2020,60.0%,,59.0%,58.1%,,59.9%
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,01-01-2020 to 30-06-2020,,,,63.3%,,63.3%
UBS AG,UBS GROUP AG,no,01-01-2020 to 30-06-2020,21.2%,33.3%,11.1%,,66.7%,62.8%
UK General Insurance Limited,NO GROUP,no,01-10-2019 to 31-03-2020,,,,56.0%,,56.0%
Ulster Bank Ltd,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2020 to 30-06-2020,68.7%,,69.1%,34.6%,33.3%,53.9%
Union Reiseversicherung AG,VBG VERSICHERUNGSBETEILIGUNGSVERW. MBH,no,01-10-2019 to 31-03-2020,,,,59.8%,,59.8%
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,01-01-2020 to 30-06-2020,37.3%,,,,,37.3%
Vitality Corporate Services Limited,RAND MERCHANT INVESTMENT HOLDINGS LTD,yes,01-01-2020 to 30-06-2020,,100.0%,,47.1%,66.7%,47.1%
Volkswagen Financial Services (UK) Limited,VOLKSWAGEN AG,no,01-01-2020 to 30-06-2020,,,,28.1%,,28.1%
West Bromwich Building Society,WEST BROMWICH BUILDING SOCIETY,no,01-10-2019 to 31-03-2020,45.0%,,43.3%,41.9%,0.0%,42.4%
Xbridge Limited,TRAVELERS COMPANIES INC.,no,01-01-2020 to 30-06-2020,,,,39.3%,,39.3%
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,no,01-01-2020 to 30-06-2020,70.1%,,53.8%,46.4%,3.2%,54.0%
Zopa Bank Limited,NO GROUP,yes,01-01-2020 to 30-06-2020,,,,,46.4%,46.4%
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,01-01-2020 to 30-06-2020,,50.8%,0.0%,47.5%,48.4%,48.7%
Zurich Insurance PLC,ZURICH INSURANCE GROUP AG,no,01-01-2020 to 30-06-2020,,,,64.9%,,64.9%
Accord Mortgages Limited,ACCORD MORTGAGES LIMITED, No,01 July 2019 to 31 December 2019,88.9%, ,69.6%,0.1%,0.0%,30.6%
Acm Ulr Limited,BGL GROUP, No,01 July 2019 to 31 December 2019, , , ,43.2%, ,43.2%
Acorn Insurance & Financial Services Ltd,NO GROUP, No,01 July 2019 to 31 December 2019, , , ,34.0%, ,34.0%
Acromas Insurance Company Limited,SAGA PLC, No,01 February 2019 to 31 July 2019, , , ,43.8%, ,43.8%
Adrian Flux Insurance Services Group,NO GROUP, No,01 March 2019 to 31 August 2019, , , ,28.6%, ,28.6%
Ageas Insurance Limited,AGEAS SA-NV, No,01 July 2019 to 31 December 2019, , , ,41.4%, ,41.4%
Ageas Retail Limited,AGEAS SA-NV, No,01 July 2019 to 31 December 2019, , , ,36.0%, ,36.0%
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY, No,01 July 2019 to 31 December 2019,44.6%, ,28.1%,18.8%,0.0%,23.6%
Al Rayan Bank PLC,NO GROUP, No,01 July 2019 to 31 December 2019,74.6%, ,50.4%,0.0%, ,70.1%
Aldermore Bank Plc,FIRSTRAND LIMITED, No,01 July 2019 to 31 December 2019,39.2%, ,21.9%, , ,31.4%
Allianz Insurance Plc,ALLIANZ SE, No,01 July 2019 to 31 December 2019, , , ,74.5%, ,74.5%
Allianz plc,ALLIANZ SE, No,01 July 2019 to 31 December 2019, , , ,20.6%, ,20.6%
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS, No,01 July 2019 to 31 December 2019,38.5%, , ,65.9%, ,56.0%
American International Group UK Limited,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",,01 June 2019 to 30 November 2019, , , ,55.6%, ,55.6%
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,Yes,01 July 2019 to 31 December 2019, , , ,42.0%, ,42.0%
Animal Friends Insurance Services Ltd,NO GROUP, No,01 July 2019 to 31 December 2019, , , ,26.4%, ,26.4%
Arnold Clark Automobiles Limited,ARNOLD CLARK AUTOMOBILES LIMITED, No,01 July 2019 to 31 December 2019, , , ,2.0%, ,2.0%
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J. GALLAGHER & CO., No,01 July 2019 to 31 December 2019, , , ,58.5%, ,58.5%
Assurant General Insurance Limited,ASSURANT INC, No,01 July 2019 to 31 December 2019, , , ,47.8%, ,47.8%
Asurion Europe Limited,NEW ASURION CORP, No,01 July 2019 to 31 December 2019, , , ,45.1%, ,45.1%
ATLANTA 1 INSURANCE SERVICES LIMITED,ARDONAGH GROUP, No,01 July 2019 to 31 December 2019, , , ,28.0%, ,28.0%
Automobile Association Insurance Services Limited,AA PLC,Yes,01 February 2019 to 31 July 2019, , , ,50.6%, ,50.6%
Aviva Insurance Limited,AVIVA PLC, No,01 July 2019 to 31 December 2019, , , ,70.3%, ,70.3%
Aviva Life Services UK Limited,AVIVA PLC, No,01 July 2019 to 31 December 2019,100.0%,74.2%,37.3%,44.2%,62.3%,62.1%
Aviva UK Digital Limited,AVIVA PLC,Yes,01 July 2019 to 31 December 2019, , , ,54.1%, ,54.1%
AWP Assistance UK Ltd,ALLIANZ SE, No,01 July 2019 to 31 December 2019, , , ,75.6%, ,75.6%
AXA Insurance UK Plc,AXA UK, No,01 July 2019 to 31 December 2019, , , ,44.2%, ,44.2%
AXA PPP Healthcare Limited,AXA UK, No,01 July 2019 to 31 December 2019, , , ,43.8%, ,43.8%
B & C E Financial Services Limited,B&CE HOLDINGS LIMITED, No,01 April 2019 to 30 September 2019, ,33.8%, , , ,33.8%
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP PLC, No,01 July 2019 to 31 December 2019,42.3%, ,21.9%,3.9%, ,24.6%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC, No,01 July 2019 to 31 December 2019,60.2%,13.5%,53.0%,33.6%,43.8%,38.4%
Barclays Bank Plc,BARCLAYS PLC,Yes,01 July 2019 to 31 December 2019,63.7%,0.0%,70.8%,100.0%, ,63.8%
Barclays Bank UK PLC,BARCLAYS PLC,Yes,01 July 2019 to 31 December 2019,57.3%,38.3%,73.2%,86.5%,56.0%,72.2%
"Benenden Healthcare Society Limited, The","Benenden Healthcare Society Limited, The", No,01 July 2019 to 31 December 2019, , , ,31.8%, ,31.8%
BISL Limited,BGL GROUP, No,01 July 2019 to 31 December 2019, , , ,45.0%, ,45.0%
Black Horse Limited,LLOYDS BANKING GROUP PLC, No,01 July 2019 to 31 December 2019, , ,11.0%,80.1%, ,80.1%
Blemain Finance Limited,BRAKEN MIDCO1 PLC, No,01 July 2019 to 31 December 2019, , ,43.4%,50.0%, ,46.3%
Bradford & Bingley Plc,UK ASSET RESOLUTION LIMITED,Yes,01 April 2019 to 30 September 2019, ,66.7%,29.9%,27.4%,26.3%,27.8%
Brightside Insurance Services Limited,"ANACAP FINANCIAL PARTNERS II, L.P.", No,01 July 2019 to 31 December 2019, , , ,73.4%, ,73.4%
British Gas Services Limited,CENTRICA PLC,Yes,01 July 2019 to 31 December 2019, , , ,98.4%, ,98.4%
BUPA Insurance Services Limited,THE BRITISH UNITED PROVIDENT ASSOCIATION LTD, No,01 July 2019 to 31 December 2019, , , ,56.9%, ,56.9%
Call Assist Ltd,CALL ASSIST LIMITED, No,01 May 2019 to 31 October 2019, , , ,61.2%, ,61.2%
Canada Square Operations Limited,CITIGROUP INC, No,01 July 2019 to 31 December 2019,27.6%, ,8.3%,37.9%, ,37.9%
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION, No,01 July 2019 to 31 December 2019,17.4%, , ,66.0%, ,58.3%
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC, No,01 July 2019 to 31 December 2019, , , ,57.0%, ,57.0%
Card Protection Plan Ltd,CPP GROUP, No,01 July 2019 to 31 December 2019, , , ,12.6%, ,12.6%
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP, No,01 July 2019 to 31 December 2019, , , ,53.5%, ,53.5%
"Carphone Warehouse Ltd, The",DIXONS CARPHONE PLC, No,01 May 2019 to 31 October 2019, , , ,77.1%, ,77.1%
Carrot Risk Technologies Ltd,TRAK GLOBAL GROUP LIMITED, No,01 July 2019 to 31 December 2019, , , ,77.4%, ,77.4%
Cater Allen Limited,BANCO SANTANDER SA, No,01 July 2019 to 31 December 2019,52.2%, , , ,100.0%,52.4%
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC, No,01 July 2019 to 31 December 2019,32.0%, ,30.2%, , ,30.7%
Chubb European Group SE,CHUBB LIMITED,,01 July 2019 to 31 December 2019, , , ,77.0%, ,77.0%
Cigna Insurance Services (Europe) Limited,CIGNA CORPORATION, No,01 July 2019 to 31 December 2019, , , ,2.6%, ,2.6%
CIS General Insurance Limited,CO-OPERATIVE GROUP LIMITED,Yes,01 July 2019 to 31 December 2019, , , ,49.6%, ,49.6%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC, No,01 February 2019 to 31 July 2019,62.6%, , ,2.6%, ,14.9%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,Yes,01 April 2019 to 30 September 2019,70.4%,16.7%,64.4%,43.0%,15.8%,49.7%
Cofunds Limited,AEGON UK, No,01 July 2019 to 31 December 2019, ,72.4%, , ,72.5%,72.5%
Collinson Insurance Services Limited,PARMINDER LIMITED, No,01 May 2019 to 31 October 2019, , , ,57.9%, ,57.9%
Connells Limited,SKIPTON BUILDING SOCIETY, No,01 July 2019 to 31 December 2019, , ,53.6%,21.3%,0.0%,40.1%
"Co-operative Bank Plc, The",CO-OPERATIVE BANK PLC (THE), No,01 July 2019 to 31 December 2019,60.2%,0.0%,45.1%,77.6%,1.8%,68.3%
Corgi Homeplan Ltd,US BANCORP,,01 July 2019 to 31 December 2019, , , ,87.05%, ,0.8704663212
Countrywide Assured Plc,CHESNARA PLC, No,01 July 2019 to 31 December 2019, ,36.8%, ,13.9%,12.8%,20.3%
Coutts & Company,THE ROYAL BANK OF SCOTLAND GROUP, No,01 July 2019 to 31 December 2019,52.2%,40.0%,69.5%,60.0%,61.0%,53.6%
Covea Insurance plc,COVEA COOPERATIONS SA,Yes,01 July 2019 to 31 December 2019, , , ,58.2%, ,58.2%
Coventry Building Society,COVENTRY BUILDING SOCIETY, No,01 July 2019 to 31 December 2019,61.4%, ,70.3%,60.3%,0.0%,62.0%
Creation Financial Services Limited,BNP PARIBAS SA, No,01 July 2019 to 31 December 2019,39.2%, , ,47.3%, ,44.6%
CT Capital Limited,NO GROUP, No,01 July 2019 to 31 December 2019, , , ,28.9%, ,28.9%
Cumberland Building Society,NO GROUP, No,01 April 2019 to 30 September 2019,58.1%, ,58.6%,45.7%,0.0%,47.1%
Cynergy Bank Limited,CYNERGY CAPITAL LTD, No,01 July 2019 to 31 December 2019,64.0%, ,12.5%,0.0%, ,59.8%
DAS Legal Expenses Insurance Company Limited,NO GROUP, No,01 July 2019 to 31 December 2019, , , ,60.2%, ,60.2%
Devitt Insurance Services Ltd,NO GROUP, No,01 July 2019 to 31 December 2019, , , ,24.3%, ,24.3%
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION, No,01 April 2019 to 30 September 2019, , , ,67.4%, ,67.4%
Elderbridge Limited,TECH MAHINDRA LIMITED,Yes,01 April 2019 to 30 September 2019, , ,51.8%,0.0%, ,50.6%
Endsleigh Insurance Services Ltd,A-PLAN HOLDINGS, No,01 March 2019 to 31 August 2019, , , ,62.4%, ,62.4%
Equiniti Financial Services Limited,EQUINITI GROUP PLC, No,01 July 2019 to 31 December 2019, ,17.8%, , ,22.2%,22.1%
esure Insurance Limited,ESURE GROUP PLC, No,01 July 2019 to 31 December 2019, , , ,53.5%, ,53.5%
EUI Limited,ADMIRAL GROUP PLC, No,01 July 2019 to 31 December 2019, , , ,49.3%, ,49.3%
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED, No,01 July 2019 to 31 December 2019, , , ,33.6%, ,33.6%
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED, No,01 July 2019 to 31 December 2019, , , ,29.0%, ,29.0%
Family Assurance Friendly Society Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD, No,01 July 2019 to 31 December 2019, ,52.0%, ,27.2%,50.1%,39.8%
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD, No,01 July 2019 to 31 December 2019,33.0%, , , ,44.4%,36.7%
FCE Bank Plc,FORD MOTOR CO, No,01 July 2019 to 31 December 2019,19.3%, , ,40.9%, ,37.9%
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED, No,01 July 2019 to 31 December 2019, ,33.2%, , , ,33.2%
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED, No,01 July 2019 to 31 December 2019, ,68.6%, , ,61.5%,63.9%
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED, No,01 July 2019 to 31 December 2019, , , ,69.4%, ,69.4%
FirstRand Bank Limited,FIRSTRAND LIMITED, No,01 July 2019 to 31 December 2019, , , ,35.0%, ,35.0%
Geo Underwriting Services Limited,ARDONAGH GROUP, No,01 July 2019 to 31 December 2019, , , ,68.2%, ,68.2%
Gresham Insurance Company Limited,AVIVA PLC, No,01 July 2019 to 31 December 2019, , , ,54.3%, ,54.3%
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC, No,01 July 2019 to 31 December 2019, ,76.2%, , ,50.4%,50.9%
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC, No,01 July 2019 to 31 December 2019,71.0%,60.3%, , ,35.8%,37.9%
Hastings Insurance Services Limited,HASTINGS GROUP HOLDINGS PLC, No,01 July 2019 to 31 December 2019, , , ,72.3%, ,72.3%
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC, No,01 July 2019 to 31 December 2019, , , , ,69.3%,69.3%
Highway Insurance Company Limited,LIVERPOOL VICTORIA FRIENDLY SOCIETY LTD,Yes,01 July 2019 to 31 December 2019, , , ,50.1%, ,50.1%
Hiscox Insurance Company Limited,HISCOX INSURANCE HOLDINGS LIMITED,Yes,01 July 2019 to 31 December 2019, , , ,48.1%, ,48.1%
Home Retail Group Card Services Limited,J SAINSBURY PLC, No,01 March 2019 to 31 August 2019,32.8%, , , , ,32.8%
Home Retail Group Insurance Services Limited,J SAINSBURY PLC, No,04 March 2019 to 03 September 2019, , , ,42.9%, ,42.9%
Homeserve Membership Limited,HOMESERVE PLC, No,01 April 2019 to 30 September 2019, , , ,25.9%, ,25.9%
Howserv Limited,STAYSURE HOLDINGS LTD, No,01 July 2019 to 31 December 2019, , , ,11.7%, ,11.7%
HSBC Bank Plc,HSBC HOLDINGS PLC, No,01 July 2019 to 31 December 2019,61.0%, ,69.2%,31.7%,58.3%,49.4%
HSBC UK Bank Plc,HSBC HOLDINGS PLC, No,01 July 2019 to 31 December 2019,56.2%,25.5%,65.1%,45.1%,52.8%,51.8%
IGO4 Limited,NO GROUP,Yes,01 July 2019 to 31 December 2019, , , ,41.4%, ,41.4%
Ikano Bank AB (publ),NO GROUP, No,01 July 2019 to 31 December 2019,18.4%, , ,10.3%, ,16.6%
Insurance Factory Ltd,MARKERSTUDY HOLDINGS LIMITED, No,01 July 2019 to 31 December 2019, , , ,30.0%, ,30.0%
Interactive Investor Services Limited,ANTLER HOLDCO LIMITED, No,01 July 2019 to 31 December 2019, , , , ,39.6%,39.6%
Invesco Fund Managers Limited,INVESCO LTD, No,01 July 2019 to 31 December 2019, , , , ,19.3%,19.3%
Investec Bank PLC,INVESTEC PLC, No,01 April 2019 to 30 September 2019,56.6%, ,33.3%, ,88.2%,58.2%
Investment Funds Direct Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD, No,01 July 2019 to 31 December 2019, ,87.3%, , ,89.1%,88.3%
J D Williams & Company Limited,N BROWN GROUP PLC, No,01 March 2019 to 31 August 2019, , , ,45.5%, ,45.5%
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO, No,01 July 2019 to 31 December 2019,55.8%, , , , ,55.8%
Kensington Mortgage Company Limited,NO GROUP, No,01 April 2019 to 30 September 2019, , ,36.6%, , ,36.6%
Landmark Mortgages Limited,NO GROUP, No,01 July 2019 to 31 December 2019, , ,36.4%, , ,36.4%
Leeds Building Society,LEEDS BUILDING SOCIETY, No,01 July 2019 to 31 December 2019,58.6%, ,54.0%,35.9%,0.0%,46.4%
Legal & General Insurance Limited,LEGAL & GENERAL GROUP PLC, No,01 July 2019 to 31 December 2019, , , ,70.9%, ,70.9%
Legal & General Partnership Services Limited,LEGAL & GENERAL GROUP PLC, No,01 July 2019 to 31 December 2019, , ,70.9%,8.3%, ,19.5%
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC, No,01 July 2019 to 31 December 2019, ,53.3%, ,39.6%,38.1%,41.9%
Link Market Services Trustees Limited,LINK ADMINISTRATION HOLDINGS LIMITED, No,01 July 2019 to 31 December 2019, , , , ,56.4%,56.4%
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED, No,01 July 2019 to 31 December 2019,33.3%,79.7%, ,57.5%,65.0%,60.1%
Liverpool Victoria Insurance Company Limited,LIVERPOOL VICTORIA FRIENDLY SOCIETY LTD, No,01 July 2019 to 31 December 2019, , , ,62.2%, ,62.2%
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC, No,01 July 2019 to 31 December 2019, , , ,54.5%, ,54.5%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC, No,01 July 2019 to 31 December 2019,58.2%,20.8%,53.9%,36.8%,50.8%,40.9%
Loans.co.uk Ltd,LLOYDS BANKING GROUP PLC, No,01 July 2019 to 31 December 2019,0.0%, , ,25.4%, ,25.4%
London and Country Mortgages Ltd,NO GROUP, No,01 July 2019 to 31 December 2019, , ,57.6%,11.2%, ,45.6%
London General Insurance Company Limited,TWG EUROPE LIMITED, No,01 July 2019 to 31 December 2019, , , ,46.0%, ,46.0%
M & G Securities Limited,M&G PLC, No,01 July 2019 to 31 December 2019, , , , ,40.5%,40.5%
Markerstudy Insurance Services Limited,MARKERSTUDY (INTERNATIONAL) LIMITED, No,01 July 2019 to 31 December 2019, , , ,56.0%, ,56.0%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC, No,01 July 2019 to 31 December 2019,54.6%, ,52.2%,48.0%, ,49.8%
MBNA Limited,LLOYDS BANKING GROUP PLC, No,01 July 2019 to 31 December 2019,52.0%, , ,49.9%, ,50.1%
MCE Insurance Limited,MCE INSURANCE LIMITED, No,01 June 2019 to 30 November 2019, , , ,46.6%, ,46.6%
Metro Bank PLC,METRO BANK PLC, No,01 July 2019 to 31 December 2019,46.2%, ,36.3%, , ,46.0%
Monzo Bank Ltd,MONZO BANK LIMITED, No,01 March 2019 to 31 August 2019,52.0%, , , , ,52.0%
Moorcroft Debt Recovery Limited,NO GROUP, No,01 February 2019 to 31 July 2019,46.8%, , , , ,46.8%
"Mortgage Business Plc, The",LLOYDS BANKING GROUP PLC, No,01 July 2019 to 31 December 2019, , ,38.4%, , ,38.4%
"Mortgage Works (UK) Plc, The",NATIONWIDE BUILDING SOCIETY, No,01 April 2019 to 30 September 2019, , ,49.2%, , ,49.2%
Motorway Direct Plc,CAR PROTECT HOLDINGS LIMITED, No,01 April 2019 to 30 September 2019, , , ,5.8%, ,5.8%
N.I.I.B. Group Limited,BANK OF IRELAND GROUP PLC, No,01 July 2019 to 31 December 2019, , , ,1.8%, ,1.8%
"National Farmers' Union Mutual Insurance Society Limited, The",NFU MUTUAL INSURANCE SOCIETY LIMITED,Yes,01 July 2019 to 31 December 2019, ,32.0%, ,62.3%,31.8%,60.9%
National House-Building Council,NATIONAL HOUSE-BUILDING COUNCIL, No,01 April 2019 to 30 September 2019, , , ,36.9%, ,36.9%
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP, No,01 July 2019 to 31 December 2019,69.7%,27.3%,60.4%,74.2%,44.7%,71.6%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY, No,05 April 2019 to 04 October 2019,51.6%,37.5%,55.1%,35.7%,18.2%,45.2%
Nemo Personal Finance Limited,PRINCIPALITY BUILDING SOCIETY, No,01 July 2019 to 31 December 2019, , ,23.5%,16.3%, ,16.9%
Newcastle Building Society,NEWCASTLE BUILDING SOCIETY, No,01 July 2019 to 31 December 2019,60.2%,100.0%,40.2%,30.4%,9.1%,36.8%
Next Risk Solutions Limited,NO GROUP, No,01 April 2019 to 30 September 2019, , , ,25.8%, ,25.8%
Northern Bank Limited,DANSKE BANK A/S, No,01 July 2019 to 31 December 2019,19.9%, ,32.5%,17.9%, ,18.6%
Nottingham Building Society,NOTTINGHAM BUILDING SOCIETY, No,01 July 2019 to 31 December 2019,59.7%, ,44.4%,6.3%, ,12.1%
NRAM Limited,UK ASSET RESOLUTION LIMITED, No,01 April 2019 to 30 September 2019, , ,28.5%,65.3%,7.3%,61.4%
Old Mutual Wealth Life & Pensions Limited,QUILTER PLC, No,01 July 2019 to 31 December 2019, ,62.3%, , ,59.6%,62.0%
One Call Insurance Services Limited,NO GROUP, No,01 July 2019 to 31 December 2019, , , ,20.4%, ,20.4%
OneSavings Bank Plc,ONESAVINGS BANK PLC, No,01 July 2019 to 31 December 2019,35.9%, ,47.2%,2.5%, ,34.5%
Openwork Limited,OPENWORK PARTNERSHIP LLP, No,01 July 2019 to 31 December 2019, ,25.5%,25.9%,13.0%,29.7%,18.4%
OVO (S) HOME SERVICES LIMITED,SSE PLC, No,01 April 2019 to 30 September 2019, , , ,70.3%, ,70.3%
PA (GI) Limited,PHOENIX GROUP HOLDINGS PLC, No,01 July 2019 to 31 December 2019, , , ,37.0%, ,37.0%
Paragon Bank Plc,PARAGON BANKING GROUP PLC, No,01 April 2019 to 30 September 2019,40.3%, ,45.0%,0.7%, ,12.8%
Paratus AMC Limited,STERLING HOLDINGS LP, No,01 July 2019 to 31 December 2019, , ,13.6%,0.3%, ,2.9%
Pepper (UK) Limited,NO GROUP, No,01 July 2019 to 31 December 2019, , ,28.1%, , ,28.1%
Phoenix Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC, No,01 July 2019 to 31 December 2019, ,74.3%,0.0%,75.4%,67.5%,73.5%
Phoenix Life Limited,PHOENIX GROUP HOLDINGS PLC, No,01 July 2019 to 31 December 2019, ,55.6%, ,57.9%,44.2%,54.8%
Pinnacle Insurance Plc,BNP PARIBAS SA, No,01 July 2019 to 31 December 2019, , , ,24.2%, ,24.2%
Post Office Management Services Limited,POST OFFICE LIMITED, No,01 April 2019 to 30 September 2019, , , ,58.6%, ,58.6%
Principality Building Society,PRINCIPALITY BUILDING SOCIETY, No,01 July 2019 to 31 December 2019,49.1%, ,46.8%,2.9%,0.0%,22.4%
"Prudential Assurance Company Limited, The",M&G PLC,Yes,01 July 2019 to 31 December 2019, ,70.0%,50.0%,49.0%,69.5%,68.8%
PSA Finance UK Limited,PSA FINANCE UK LIMITED, No,01 July 2019 to 31 December 2019, , , ,4.6%, ,4.6%
QBE UK Limited,QBE INSURANCE GROUP LTD, No,01 July 2019 to 31 December 2019, , , ,65.4%, ,65.4%
Qmetric Group Limited,R&H TRUST CO LTD, No,01 April 2019 to 30 September 2019, , , ,20.9%, ,20.9%
R. Raphael & Sons Plc,LENLYN HOLDINGS PLC, No,01 March 2019 to 31 August 2019,73.6%, , ,4.7%, ,52.5%
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED, No,01 July 2019 to 31 December 2019, , , ,45.6%, ,45.6%
RCI Financial Services Limited,RENAULT,Yes,01 July 2019 to 31 December 2019, , , ,26.6%, ,26.6%
ReAssure Limited,SWISS RE AG, No,01 July 2019 to 31 December 2019, ,56.7%,100.0%,29.4%,38.1%,44.6%
Retail Money Market Ltd,RETAIL MONEY MARKET LTD, No,01 April 2019 to 30 September 2019, , , , ,36.2%,36.2%
Rock Insurance Services Limited,ROCK SERVICES HOLDINGS LIMITED, No,02 January 2019 to 01 July 2019, , , ,58.5%, ,58.5%
