Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,Grand total
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,no,01-01-2020 to 30-06-2020,,,,,27.7%,27.7%
Highway Insurance Company Limited,ALLIANZ SE,no,01-01-2020 to 30-06-2020,,,,64.4%,,64.4%
Hiscox Insurance Company Limited,HISCOX INSURANCE HOLDINGS LIMITED,yes,01-01-2020 to 30-06-2020,,,,75.0%,,75.0%
Hitachi Capital (UK) PLC,HITACHI CAPITAL (UK) PLC,no,01-10-2019 to 31-03-2020,,,,16.4%,,16.4%
Home Retail Group Card Services Limited,J SAINSBURY PLC,no,01-09-2019 to 29-02-2020,51.1%,,,,,51.1%
Home Retail Group Insurance Services Limited,J SAINSBURY PLC,no,04-09-2019 to 03-03-2020,,,,66.0%,,66.0%
Homeserve Membership Limited,HOMESERVE PLC,no,01-10-2019 to 31-03-2020,,,,39.8%,,39.8%
Howserv Limited,STAYSURE HOLDINGS LTD,no,01-01-2020 to 30-06-2020,,,,82.5%,,82.5%
HSBC Trust Company (UK) Ltd,HSBC HOLDINGS PLC,no,01-01-2020 to 30-06-2020,,50.0%,,,59.1%,58.6%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,01-01-2020 to 30-06-2020,29.0%,41.4%,55.6%,32.8%,61.8%,31.7%
IGO4 Limited,NO GROUP,no,01-01-2020 to 30-06-2020,,,,37.9%,,37.9%
Ikano Bank AB (publ),NO GROUP,no,01-01-2020 to 30-06-2020,58.0%,,,58.8%,,58.0%
Insurance Factory Ltd,MARKERSTUDY HOLDINGS LIMITED,no,01-01-2020 to 30-06-2020,,,,46.9%,,46.9%
Insure & Go Insurance Services Ltd,NO GROUP,no,01-01-2020 to 30-06-2020,,,,47.1%,,47.1%
Interactive Brokers (UK) Ltd,NO GROUP,no,01-01-2020 to 30-06-2020,,,,,79.1%,79.1%
Interactive Investor Services Limited,ANTLER HOLDCO LIMITED,no,01-01-2020 to 30-06-2020,,70.3%,,,60.3%,60.7%
Invesco Fund Managers Limited,INVESCO LTD,no,01-01-2020 to 30-06-2020,,,,,51.5%,51.5%
Investec Bank PLC,INVESTEC PLC,no,01-10-2019 to 31-03-2020,18.6%,,100.0%,,50.7%,21.4%
Investment Funds Direct Limited,M&G GROUP,no,01-01-2020 to 30-06-2020,,61.5%,,,72.4%,66.8%
J D Williams & Company Limited,N BROWN GROUP PLC,no,01-09-2019 to 29-02-2020,,,,89.7%,,89.7%
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,01-01-2020 to 30-06-2020,84.2%,,,,,84.2%
Kensington Mortgage Company Limited,NO GROUP,no,01-10-2019 to 31-03-2020,,,59.7%,,,59.7%
Landmark Mortgages Limited,NO GROUP,no,01-01-2020 to 30-06-2020,,,92.5%,,,92.5%
LeasePlan UK Limited,INULA HOLDING UK LIMITED,no,01-01-2020 to 30-06-2020,,,,45.5%,,45.5%
Leeds Building Society,LEEDS BUILDING SOCIETY,no,01-01-2020 to 30-06-2020,17.4%,,27.3%,44.7%,25.0%,23.6%
Legal & General Partnership Services Limited,LEGAL & GENERAL GROUP PLC,no,01-01-2020 to 30-06-2020,,,95.1%,28.3%,,80.8%
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,no,01-01-2020 to 30-06-2020,,72.1%,,47.1%,73.7%,55.6%
Legal Insurance Management Ltd,NO GROUP,no,01-08-2019 to 31-01-2020,,,,59.2%,,59.2%
Link Market Services Trustees Limited,LINK ADMINISTRATION HOLDINGS LIMITED,no,01-01-2020 to 30-06-2020,,,,,86.5%,86.5%
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,01-01-2020 to 30-06-2020,,63.4%,,26.8%,60.3%,33.0%
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,no,01-01-2020 to 30-06-2020,,,,56.9%,,56.9%
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,01-01-2020 to 30-06-2020,,,,46.9%,,46.9%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,01-01-2020 to 30-06-2020,46.5%,80.8%,31.2%,8.4%,71.0%,19.6%
London and Country Mortgages Ltd,NO GROUP,no,01-01-2020 to 30-06-2020,,,92.1%,53.6%,,89.3%
London General Insurance Company Limited,TWG EUROPE LIMITED,yes,01-01-2020 to 30-06-2020,,,,77.2%,,77.2%
M & G Securities Limited,PRUDENTIAL PLC,no,01-01-2020 to 30-06-2020,,,,,57.4%,57.4%
Markerstudy Insurance Services Limited,MARKERSTUDY (INTERNATIONAL) LIMITED,no,01-01-2020 to 30-06-2020,,,,82.4%,,82.4%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,01-01-2020 to 30-06-2020,21.0%,,91.3%,98.6%,,72.5%
MBNA Limited,LLOYDS BANKING GROUP PLC,no,01-01-2020 to 30-06-2020,39.9%,,,13.1%,,14.8%
MCE Insurance Limited,MCE INSURANCE LIMITED,no,01-01-2020 to 30-06-2020,,,,10.4%,,10.4%
Mercedes-Benz Financial Services UK Limited,DAIMLER AG,no,01-01-2020 to 30-06-2020,,,,0.0%,,0.0%
Metro Bank PLC,METRO BANK PLC,no,01-01-2020 to 30-06-2020,36.8%,,56.4%,,,37.3%
Monzo Bank Ltd,MONZO BANK LIMITED,no,01-09-2019 to 29-02-2020,47.7%,,,60.0%,,47.7%
Moorcroft Debt Recovery Limited,NO GROUP,no,01-08-2019 to 31-01-2020,72.4%,,,,,72.4%
MotoNovo Finance Limited,FIRSTRAND LIMITED,no,01-01-2020 to 30-06-2020,,,,83.8%,,83.8%
National House-Building Council,NATIONAL HOUSE-BUILDING COUNCIL,no,01-10-2019 to 31-03-2020,,,,81.3%,,81.3%
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2020 to 30-06-2020,43.9%,40.0%,52.9%,5.8%,67.4%,23.9%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,05-10-2019 to 04-04-2020,47.7%,80.0%,64.1%,5.9%,76.2%,31.9%
Next Risk Solutions Limited,NO GROUP,no,01-10-2019 to 31-03-2020,,,,25.5%,,25.5%
Northern Bank Limited,DANSKE BANK A/S,no,01-01-2020 to 30-06-2020,36.0%,,79.2%,23.9%,85.7%,36.9%
NRAM Limited,UK ASSET RESOLUTION LIMITED,no,01-10-2019 to 31-03-2020,,,81.4%,6.5%,31.1%,9.0%
Old Mutual Wealth Life & Pensions Limited,QUILTER PLC,no,01-01-2020 to 30-06-2020,,76.8%,,,77.1%,76.8%
Old Mutual Wealth Limited,QUILTER PLC,no,01-01-2020 to 30-06-2020,,,,,78.4%,78.4%
One Call Insurance Services Limited,NO GROUP,no,01-01-2020 to 30-06-2020,,,,34.9%,,34.9%
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,01-01-2020 to 30-06-2020,34.0%,,53.4%,42.9%,,40.4%
OVO (S) HOME SERVICES LIMITED,SSE PLC,no,01-10-2019 to 31-03-2020,,,,40.3%,,40.3%
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,01-10-2019 to 31-03-2020,68.8%,,67.2%,75.6%,,69.4%
Pepper (UK) Limited,NO GROUP,no,01-01-2020 to 30-06-2020,,,64.1%,,,64.1%
Phoenix Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC,no,01-01-2020 to 30-06-2020,,51.0%,40.0%,49.3%,57.5%,51.5%
Phoenix Life Limited,PHOENIX GROUP HOLDINGS PLC,no,01-01-2020 to 30-06-2020,,52.9%,72.7%,47.1%,53.1%,50.5%
Pinnacle Insurance Plc,BNP PARIBAS SA,no,01-01-2020 to 30-06-2020,,,,49.4%,,49.4%
Post Office Management Services Limited,POST OFFICE LIMITED,no,01-10-2019 to 31-03-2020,,,,88.1%,,88.1%
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,no,01-01-2020 to 30-06-2020,47.5%,,44.1%,1.0%,30.0%,23.8%
PSA Finance UK Limited,PSA FINANCE UK LIMITED,no,01-01-2020 to 30-06-2020,,,,31.4%,,31.4%
QBE UK Limited,QBE INSURANCE GROUP LTD,no,01-01-2020 to 30-06-2020,,,,74.8%,,74.8%
Qmetric Group Limited,R&H TRUST CO LTD,no,01-10-2019 to 31-03-2020,,,,38.2%,,38.2%
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,yes,01-01-2020 to 30-06-2020,,,,58.5%,,58.5%
RCI Financial Services Limited,RENAULT,no,01-01-2020 to 30-06-2020,,,,0.1%,,0.1%
ReAssure Limited,SWISS RE AG,no,01-01-2020 to 30-06-2020,,65.5%,100.0%,75.1%,81.3%,69.8%
Retail Money Market Ltd,RETAIL MONEY MARKET LTD,no,01-10-2019 to 31-03-2020,,,,,21.3%,21.3%
Rock Insurance Services Limited,ROCK SERVICES HOLDINGS LIMITED,no,02-07-2019 to 01-01-2020,,,,81.8%,,81.8%
Royal & Sun Alliance Insurance Plc,RSA INSURANCE GROUP PLC,no,01-01-2020 to 30-06-2020,,,,40.4%,,40.4%
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,01-01-2020 to 30-06-2020,,,,48.3%,,48.3%
Saga Services Limited,SAGA PLC,no,01-08-2019 to 31-01-2020,,,,34.9%,,34.9%
Sainsbury's Bank Plc,J SAINSBURY PLC,no,01-09-2019 to 29-02-2020,27.1%,,81.2%,76.5%,,31.0%
Santander Cards UK Limited,BANCO SANTANDER SA,no,01-01-2020 to 30-06-2020,66.7%,,,17.9%,,17.9%
Santander Consumer (UK) Plc,BANCO SANTANDER SA,no,01-01-2020 to 30-06-2020,,,,38.9%,,38.9%
Santander UK Plc,BANCO SANTANDER SA,no,01-01-2020 to 30-06-2020,26.2%,48.4%,45.9%,8.7%,42.7%,20.4%
Scottish Equitable Plc,AEGON NV,no,01-01-2020 to 30-06-2020,,52.1%,,69.7%,59.0%,54.7%
Scottish Friendly Assurance Society Limited,NO GROUP,yes,01-01-2020 to 30-06-2020,,67.7%,33.3%,78.2%,76.7%,74.4%
Scottish Widows Limited,LLOYDS BANKING GROUP PLC,no,01-01-2020 to 30-06-2020,,48.3%,,42.6%,33.3%,45.6%
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,no,01-01-2020 to 30-06-2020,,,,,25.4%,25.4%
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,01-01-2020 to 30-06-2020,80.1%,,73.9%,83.3%,,79.3%
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,01-01-2020 to 30-06-2020,70.1%,,84.7%,31.3%,,75.0%
Shop Direct Finance Company Limited,LW HOLDINGS LIMITED,no,01-01-2020 to 30-06-2020,,,,0.4%,,0.4%
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,no,01-01-2020 to 30-06-2020,,,,87.9%,,87.9%
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,01-01-2020 to 30-06-2020,41.5%,100.0%,57.8%,17.7%,78.0%,45.3%
Society of Lloyd's,SOCIETY OF LLOYD'S,no,01-01-2020 to 30-06-2020,,,,68.5%,,68.5%
Somerset Bridge Insurance Services Limited,NO GROUP,no,01-01-2020 to 30-06-2020,,,,75.1%,,75.1%
SquareTrade Limited,THE ALLSTATE CORP.,no,01-01-2020 to 30-06-2020,,,,33.3%,,33.3%
St Andrew's Insurance Plc,LLOYDS BANKING GROUP PLC,no,01-01-2020 to 30-06-2020,,,,19.1%,,19.1%
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,01-01-2020 to 30-06-2020,,94.3%,,100.0%,90.6%,93.1%
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,no,01-01-2020 to 30-06-2020,,75.1%,72.7%,81.3%,67.2%,71.8%
Standard Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC,no,01-01-2020 to 30-06-2020,,45.8%,86.7%,66.7%,63.2%,48.1%
Starling Bank Limited,STARLING BANK LIMITED,no,01-12-2019 to 31-05-2020,63.0%,,,,,63.0%
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,01-01-2020 to 30-06-2020,,,,28.1%,,28.1%
Sterling ISA Managers Limited,NO GROUP,no,01-01-2020 to 30-06-2020,,70.1%,,,71.3%,70.8%
Studio Retail Limited,STUDIO RETAIL GROUP PLC,no,01-10-2019 to 31-03-2020,,,,5.8%,,5.8%
Sun Life Assurance Company of Canada (U.K.) Limited,SUN LIFE FINANCIAL INC.,no,01-01-2020 to 30-06-2020,,85.0%,,86.5%,85.6%,85.7%
Swinton Group Ltd,ARDONAGH GROUP,no,01-01-2020 to 30-06-2020,,,,44.4%,0.0%,44.4%
Tandem Bank Limited,NO GROUP,no,01-01-2020 to 30-06-2020,,,,,,
Target Servicing Limited,NO GROUP,no,01-10-2019 to 31-03-2020,,,65.6%,,,65.6%
Telefonica Insurance S.A.,TELEFONICA SA,no,01-01-2020 to 30-06-2020,,,,53.9%,,53.9%
Temple Finance Limited,BRIXWORTH INVESTMENTS LTD,no,01-10-2019 to 31-03-2020,,,,,,
Tesco Personal Finance PLC,TESCO PLC,no,01-09-2019 to 29-02-2020,50.9%,,81.8%,63.5%,,59.9%
Tesco Underwriting Limited,AGEAS SA-NV,no,01-01-2020 to 30-06-2020,,,,47.8%,,47.8%
The Carphone Warehouse Ltd,DIXONS CARPHONE PLC,no,01-11-2019 to 30-04-2020,,,,97.7%,,97.7%
The Co-operative Bank Plc,CO-OPERATIVE BANK PLC (THE),no,01-01-2020 to 30-06-2020,27.9%,66.7%,46.8%,1.6%,45.5%,13.5%
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,no,01-01-2020 to 30-06-2020,,,30.9%,,,30.9%
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,01-10-2019 to 31-03-2020,,,92.3%,,,92.3%
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,01-01-2020 to 30-06-2020,,96.6%,,76.1%,94.4%,76.8%
The Prudential Assurance Company Limited,PRUDENTIAL PLC,yes,01-01-2020 to 30-06-2020,,60.8%,90.5%,61.7%,60.5%,60.8%
The Royal Bank of Scotland Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2020 to 30-06-2020,44.6%,44.4%,52.1%,6.9%,52.7%,20.1%
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,01-01-2020 to 30-06-2020,,57.6%,,49.3%,52.8%,54.2%
The Share Centre Limited,SHARE PLC,no,01-01-2020 to 30-06-2020,,51.9%,,,52.6%,52.6%
Topaz Finance Limited,COMPUTERSHARE LIMITED,no,01-01-2020 to 30-06-2020,,,94.0%,,,94.0%
Towergate Underwriting Group Limited,ARDONAGH GROUP,no,01-01-2020 to 30-06-2020,,,,40.8%,,40.8%
TSB Bank plc,BANCO DE SABADELL SA,no,01-01-2020 to 30-06-2020,40.7%,,54.1%,34.9%,,41.3%
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,01-01-2020 to 30-06-2020,,,,40.8%,,40.8%
UBS AG,UBS GROUP AG,no,01-01-2020 to 30-06-2020,60.6%,66.7%,66.7%,,38.0%,40.0%
UK General Insurance Limited,NO GROUP,no,01-10-2019 to 31-03-2020,,,,69.7%,,69.7%
Ulster Bank Ltd,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2020 to 30-06-2020,42.1%,,64.9%,1.0%,83.3%,25.4%
Union Reiseversicherung AG,VBG VERSICHERUNGSBETEILIGUNGSVERW. MBH,no,01-10-2019 to 31-03-2020,,,,64.4%,,64.4%
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,01-01-2020 to 30-06-2020,58.7%,,,,,58.7%
Vitality Corporate Services Limited,RAND MERCHANT INVESTMENT HOLDINGS LTD,yes,01-01-2020 to 30-06-2020,,100.0%,,51.4%,83.3%,51.4%
Volkswagen Financial Services (UK) Limited,VOLKSWAGEN AG,no,01-01-2020 to 30-06-2020,,,,21.1%,,21.1%
West Bromwich Building Society,WEST BROMWICH BUILDING SOCIETY,no,01-10-2019 to 31-03-2020,33.9%,,46.4%,5.8%,100.0%,16.8%
Xbridge Limited,TRAVELERS COMPANIES INC.,no,01-01-2020 to 30-06-2020,,,,86.3%,,86.3%
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,no,01-01-2020 to 30-06-2020,41.0%,,62.9%,1.4%,64.5%,19.9%
Zopa Bank Limited,NO GROUP,yes,01-01-2020 to 30-06-2020,,,,,67.9%,67.9%
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,01-01-2020 to 30-06-2020,,70.0%,42.9%,75.6%,70.9%,73.0%
Zurich Insurance PLC,ZURICH INSURANCE GROUP AG,no,01-01-2020 to 30-06-2020,,,,66.7%,,66.7%
Accord Mortgages Limited,ACCORD MORTGAGES LIMITED, No,01 July 2019 to 31 December 2019,33.3%, ,56.2%,81.2%,100.0%,70.1%
Acm Ulr Limited,BGL GROUP, No,01 July 2019 to 31 December 2019, , , ,75.3%, ,75.3%
Acorn Insurance & Financial Services Ltd,NO GROUP, No,01 July 2019 to 31 December 2019, , , ,83.5%, ,83.5%
Acromas Insurance Company Limited,SAGA PLC, No,01 February 2019 to 31 July 2019, , , ,52.1%, ,52.1%
Adrian Flux Insurance Services Group,NO GROUP, No,01 March 2019 to 31 August 2019, , , ,26.1%, ,26.1%
Ageas Insurance Limited,AGEAS SA-NV, No,01 July 2019 to 31 December 2019, , , ,52.6%, ,52.6%
Ageas Retail Limited,AGEAS SA-NV, No,01 July 2019 to 31 December 2019, , , ,38.6%, ,38.6%
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY, No,01 July 2019 to 31 December 2019,64.0%, ,93.8%,85.7%,100.0%,81.8%
Al Rayan Bank PLC,NO GROUP, No,01 July 2019 to 31 December 2019,78.5%, ,71.5%,100.0%, ,77.3%
Aldermore Bank Plc,FIRSTRAND LIMITED, No,01 July 2019 to 31 December 2019,39.5%, ,83.0%, , ,59.3%
Allianz Insurance Plc,ALLIANZ SE, No,01 July 2019 to 31 December 2019, , , ,72.2%, ,72.2%
Allianz plc,ALLIANZ SE, No,01 July 2019 to 31 December 2019, , , ,20.2%, ,20.2%
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS, No,01 July 2019 to 31 December 2019,84.1%, , ,35.8%, ,53.2%
American International Group UK Limited,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",Yes,01 June 2019 to 30 November 2019, , , ,50.1%, ,50.1%
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,Yes,01 July 2019 to 31 December 2019, , , ,73.6%, ,73.6%
Animal Friends Insurance Services Ltd,NO GROUP, No,01 July 2019 to 31 December 2019, , , ,95.2%, ,95.2%
Arnold Clark Automobiles Limited,ARNOLD CLARK AUTOMOBILES LIMITED, No,01 July 2019 to 31 December 2019, , , ,74.2%, ,74.2%
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J. GALLAGHER & CO.,Yes,01 July 2019 to 31 December 2019, , , ,31.7%, ,31.7%
Assurant General Insurance Limited,ASSURANT INC, No,01 July 2019 to 31 December 2019, , , ,28.5%, ,28.5%
Asurion Europe Limited,NEW ASURION CORP, No,01 July 2019 to 31 December 2019, , , ,54.6%, ,54.6%
ATLANTA 1 INSURANCE SERVICES LIMITED,ARDONAGH GROUP, No,01 July 2019 to 31 December 2019, , , ,50.1%, ,50.1%
Automobile Association Insurance Services Limited,AA PLC, No,01 February 2019 to 31 July 2019, , , ,44.2%, ,44.2%
Aviva Insurance Limited,AVIVA PLC, No,01 July 2019 to 31 December 2019, , , ,32.6%, ,32.6%
Aviva Life Services UK Limited,AVIVA PLC, No,01 July 2019 to 31 December 2019,0.0%,59.1%,46.3%,44.3%,49.0%,52.5%
Aviva UK Digital Limited,AVIVA PLC, No,01 July 2019 to 31 December 2019, , , ,23.0%, ,23.0%
AWP Assistance UK Ltd,ALLIANZ SE, No,01 July 2019 to 31 December 2019, , , ,64.9%, ,64.9%
AXA Insurance UK Plc,AXA UK, No,01 July 2019 to 31 December 2019, , , ,29.6%, ,29.6%
AXA PPP Healthcare Limited,AXA UK, No,01 July 2019 to 31 December 2019, , , ,21.1%, ,21.1%
B & C E Financial Services Limited,B&CE HOLDINGS LIMITED, No,01 April 2019 to 30 September 2019, ,94.3%, , , ,94.3%
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP PLC,Yes,01 July 2019 to 31 December 2019,62.9%, ,87.0%,64.4%,50.0%,64.3%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC, No,01 July 2019 to 31 December 2019,30.1%,70.3%,32.9%,56.3%,76.3%,51.5%
Barclays Bank Plc,BARCLAYS PLC,Yes,01 July 2019 to 31 December 2019,17.9%,100.0%,29.2%,100.0%, ,17.9%
Barclays Bank UK PLC,BARCLAYS PLC,Yes,01 July 2019 to 31 December 2019,30.5%,46.7%,49.4%,46.3%,41.5%,38.9%
"Benenden Healthcare Society Limited, The","Benenden Healthcare Society Limited, The",Yes,01 July 2019 to 31 December 2019, , , ,28.8%, ,28.8%
BISL Limited,BGL GROUP, No,01 July 2019 to 31 December 2019, , , ,59.0%, ,59.0%
Black Horse Limited,LLOYDS BANKING GROUP PLC, No,01 July 2019 to 31 December 2019, , ,80.8%,27.0%, ,27.1%
Blemain Finance Limited,BRAKEN MIDCO1 PLC, No,01 July 2019 to 31 December 2019, , ,52.6%,35.9%, ,45.1%
Bradford & Bingley Plc,UK ASSET RESOLUTION LIMITED,Yes,01 April 2019 to 30 September 2019, ,22.2%,92.0%,82.3%,72.0%,83.3%
Brightside Insurance Services Limited,"ANACAP FINANCIAL PARTNERS II, L.P.", No,01 July 2019 to 31 December 2019, , , ,63.4%, ,63.4%
British Gas Services Limited,CENTRICA PLC,Yes,01 July 2019 to 31 December 2019, , , ,20.8%, ,20.8%
BUPA Insurance Services Limited,THE BRITISH UNITED PROVIDENT ASSOCIATION LTD,Yes,01 July 2019 to 31 December 2019, , , ,42.1%, ,42.1%
Call Assist Ltd,CALL ASSIST LIMITED, No,01 May 2019 to 31 October 2019, , , ,32.8%, ,32.8%
Canada Square Operations Limited,CITIGROUP INC, No,01 July 2019 to 31 December 2019,75.9%, ,66.7%,72.4%, ,72.4%
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION, No,01 July 2019 to 31 December 2019,61.1%, , ,58.7%, ,59.1%
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC, No,01 July 2019 to 31 December 2019, , , ,66.2%, ,66.2%
Card Protection Plan Ltd,CPP GROUP,Yes,01 July 2019 to 31 December 2019, , , ,94.4%, ,94.4%
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP, No,01 July 2019 to 31 December 2019, , , ,47.9%, ,47.9%
"Carphone Warehouse Ltd, The",DIXONS CARPHONE PLC, No,01 May 2019 to 31 October 2019, , , ,91.8%, ,91.8%
Carrot Risk Technologies Ltd,TRAK GLOBAL GROUP LIMITED, No,01 July 2019 to 31 December 2019, , , ,39.8%, ,39.8%
Cater Allen Limited,BANCO SANTANDER SA, No,01 July 2019 to 31 December 2019,54.8%, , , ,33.3%,54.7%
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC, No,01 July 2019 to 31 December 2019,74.5%, ,72.3%, , ,73.0%
Chubb European Group SE,CHUBB LIMITED,Yes,01 July 2019 to 31 December 2019, , , ,23.3%, ,23.3%
Cigna Insurance Services (Europe) Limited,CIGNA CORPORATION, No,01 July 2019 to 31 December 2019, , , ,52.5%, ,52.5%
CIS General Insurance Limited,CO-OPERATIVE GROUP LIMITED, No,01 July 2019 to 31 December 2019, , , ,29.3%, ,29.3%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC, No,01 February 2019 to 31 July 2019,18.4%, , ,45.5%, ,39.9%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,Yes,01 April 2019 to 30 September 2019,46.0%,33.3%,43.5%,76.6%,82.5%,68.8%
Cofunds Limited,AEGON UK, No,01 July 2019 to 31 December 2019, ,64.7%, , ,61.7%,62.0%
Collinson Insurance Services Limited,PARMINDER LIMITED, No,01 May 2019 to 31 October 2019, , , ,79.6%, ,79.6%
Connells Limited,SKIPTON BUILDING SOCIETY, No,01 July 2019 to 31 December 2019, , ,92.9%,99.5%,100.0%,95.7%
"Co-operative Bank Plc, The",CO-OPERATIVE BANK PLC (THE), No,01 July 2019 to 31 December 2019,29.7%,33.3%,53.6%,53.0%,50.9%,42.8%
Corgi Homeplan Ltd,US BANCORP, No,01 July 2019 to 31 December 2019, , , ,61.35%, ,0.6134715026
Countrywide Assured Plc,CHESNARA PLC, No,01 July 2019 to 31 December 2019, ,51.0%, ,69.9%,55.0%,61.0%
Coutts & Company,THE ROYAL BANK OF SCOTLAND GROUP, No,01 July 2019 to 31 December 2019,57.0%,20.0%,81.7%,40.0%,61.0%,58.3%
Covea Insurance plc,COVEA COOPERATIONS SA,Yes,01 July 2019 to 31 December 2019, , , ,66.4%, ,66.4%
Coventry Building Society,COVENTRY BUILDING SOCIETY, No,01 July 2019 to 31 December 2019,23.8%, ,52.9%,36.0%,80.0%,30.4%
Creation Financial Services Limited,BNP PARIBAS SA, No,01 July 2019 to 31 December 2019,81.0%, , ,30.3%, ,47.0%
CT Capital Limited,NO GROUP, No,01 July 2019 to 31 December 2019, , , ,44.3%, ,44.3%
Cumberland Building Society,NO GROUP, No,01 April 2019 to 30 September 2019,72.6%, ,93.1%,94.2%,91.7%,90.8%
Cynergy Bank Limited,CYNERGY CAPITAL LTD, No,01 July 2019 to 31 December 2019,35.0%, ,75.0%,25.0%, ,35.1%
DAS Legal Expenses Insurance Company Limited,NO GROUP, No,01 July 2019 to 31 December 2019, , , ,61.7%, ,61.7%
Devitt Insurance Services Ltd,NO GROUP, No,01 July 2019 to 31 December 2019, , , ,24.3%, ,24.3%
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION, No,01 April 2019 to 30 September 2019, , , ,60.1%, ,60.1%
Elderbridge Limited,TECH MAHINDRA LIMITED, No,01 April 2019 to 30 September 2019, , ,75.1%,73.9%, ,75.0%
Endsleigh Insurance Services Ltd,A-PLAN HOLDINGS, No,01 March 2019 to 31 August 2019, , , ,48.3%, ,48.3%
Equiniti Financial Services Limited,EQUINITI GROUP PLC, No,01 July 2019 to 31 December 2019, ,62.2%, , ,51.7%,51.9%
esure Insurance Limited,ESURE GROUP PLC,Yes,01 July 2019 to 31 December 2019, , , ,55.7%, ,55.7%
EUI Limited,ADMIRAL GROUP PLC, No,01 July 2019 to 31 December 2019, , , ,42.5%, ,42.5%
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED, No,01 July 2019 to 31 December 2019, , , ,57.0%, ,57.0%
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED, No,01 July 2019 to 31 December 2019, , , ,10.7%, ,10.7%
Family Assurance Friendly Society Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD, No,01 July 2019 to 31 December 2019, ,96.0%, ,73.8%,61.3%,68.2%
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD, No,01 July 2019 to 31 December 2019,66.2%, , , ,57.2%,63.3%
FCE Bank Plc,FORD MOTOR CO, No,01 July 2019 to 31 December 2019,86.4%, , ,96.3%, ,94.9%
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED, No,01 July 2019 to 31 December 2019, ,80.7%, , , ,80.7%
